id,web_urls
1,https://www.moneycontrol.com/news/business/earnings/vedanta-q2-results-profit-rises-to-rs-4644-crore-revenue-grows-to-rs-30048-crore-7649061.html
2,https://www.moneycontrol.com/news/business/earnings/bandhan-bank-posts-q2-loss-at-rs-3008-6-crore-as-provisions-spike-net-interest-income-up-0-6-7652751.html
3,https://www.moneycontrol.com/news/business/markets/diwali-muhurat-trading-2021-nse-bse-to-hold-customary-one-hour-special-mahurat-trading-heres-details-7652391.html
4,https://www.moneycontrol.com/news/business/earnings/dr-reddys-q2-profit-rises-30-to-rs-992-crore-revenue-increases-18-7648681.html
5,https://www.moneycontrol.com/news/business/economy/shree-cement-profit-rises-5-to-rs-577-crore-revenue-up-5-at-rs-3206-crore-in-q2-7648521.html
6,https://economictimes.indiatimes.com/news/company/corporate-trends/godrej-family-looks-to-divide-a-4-1-billion-empire/articleshow/87350226.cms
7,https://economictimes.indiatimes.com/markets/stocks/earnings/edelweiss-group-q2-results-firm-returns-to-profit-says-assets-mgmt-broking-to-drive-growth/articleshow/87366823.cms
8,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-down-as-market-falls/articleshow/87366321.cms
9,https://economictimes.indiatimes.com/markets/stocks/news/biggest-gainers-losers-of-the-day-ujjivan-soars-19-subex-tank-17/articleshow/87366291.cms
10,https://economictimes.indiatimes.com/markets/stocks/news/tech-view-nifty50-forms-bearish-candle-all-eyes-of-17500-level/articleshow/87365397.cms
